call_id,is_precursor,is_recall,precursor_call_id,hours_from_first_call
106284,N,N,,
571661,N,N,,
2088623,Y,N,,
2089500,N,Y,2088623,0:14:41
382709,N,N,,
221553,N,N,,
511399,N,N,,
875322,N,N,,
2089473,N,N,,
2116073,N,N,,
191929,N,N,,
2140806,N,N,,
1720746,N,N,,
1938035,N,N,,
2235801,N,N,,
1089832,N,N,,
2141268,N,N,,
2247403,N,N,,
257851,N,N,,
1216538,Y,N,,
1216705,N,Y,1216538,0:03:34
592174,N,N,,
836831,N,N,,
935909,N,N,,
1689174,N,N,,
1340559,N,N,,
1633269,N,N,,
1812295,Y,N,,
1813003,N,Y,1812295,0:13:52
660358,N,N,,
884000,N,N,,
1135,N,N,,
327644,N,N,,
1624370,N,N,,
1957152,N,N,,
276550,N,N,,
2194046,N,N,,
2196694,N,N,,
2150793,N,N,,
92465,N,N,,
22782,N,N,,
252223,N,N,,
1465004,N,N,,
1587413,N,N,,
1573181,N,N,,
2146741,N,N,,
1221784,N,N,,
1502754,N,N,,
96972,N,N,,
1839810,N,N,,
1620341,N,N,,
1961372,N,N,,
1081622,N,N,,
2065563,N,N,,
780422,N,N,,
2263435,N,N,,
2168252,N,N,,
2225818,N,N,,
324604,N,N,,
91045,N,N,,
2208121,N,N,,
634983,N,N,,
949076,N,N,,
1718096,N,N,,
197858,N,N,,
1571716,N,N,,
1704719,N,N,,
353433,N,N,,
2272166,N,N,,
2125545,N,N,,
2271608,N,N,,
1818900,N,N,,
39677,N,N,,
857110,N,N,,
772599,N,N,,
116855,N,N,,
997805,N,N,,
318821,N,N,,
1793846,N,N,,
994466,N,N,,
25971,N,N,,
1630074,N,N,,
990111,N,N,,
1964431,N,N,,
1815444,N,N,,
1828123,N,N,,
802078,N,N,,
1787640,N,N,,
467698,N,N,,
276064,N,N,,
1999793,N,N,,
2200674,N,N,,
1807868,N,N,,
1669695,N,N,,
941931,N,N,,
2188,N,N,,
1940622,N,N,,
1638360,N,N,,
2252296,N,N,,
2125746,N,N,,
1494384,N,N,,
415146,N,N,,
1672033,N,N,,
1894605,N,N,,
1952144,N,N,,
103980,N,N,,
2244009,N,N,,
1506687,N,N,,
1961361,N,N,,
2095316,N,N,,
1100677,N,N,,
341796,N,N,,
1913586,N,N,,
1815170,N,N,,
1883481,N,N,,
1651936,N,N,,
2030638,N,N,,
1788414,N,N,,
1839469,N,N,,
1811030,N,N,,
2003998,N,N,,
12879,N,N,,
2080546,N,N,,
1872320,N,N,,
200406,N,N,,
1426364,N,N,,
475642,N,N,,
1974709,N,N,,
2258154,N,N,,
679563,N,N,,
985562,N,N,,
978018,Y,N,,
978248,N,Y,978018,0:05:03
1422482,N,N,,
859620,N,N,,
1632636,N,N,,
963559,N,N,,
1451749,N,N,,
1301770,N,N,,
912927,N,N,,
1996416,N,N,,
900364,Y,N,,
900865,N,Y,900364,0:11:36
1531638,N,N,,
300334,N,N,,
313690,N,N,,
1909693,N,N,,
1801754,N,N,,
970315,N,N,,
1455379,N,N,,
352827,N,N,,
990811,N,N,,
273305,N,N,,
1803574,N,N,,
2226581,N,N,,
2008104,Y,N,,
2008409,N,Y,2008104,0:06:00
352448,Y,N,,
352677,N,Y,352448,0:04:29
781381,N,N,,
2026667,N,N,,
1920559,N,N,,
523303,N,N,,
1777369,N,N,,
283090,N,N,,
496724,N,N,,
2015370,N,N,,
774133,N,N,,
1536744,N,N,,
2174997,N,N,,
1529949,N,N,,
1434976,N,N,,
1431038,N,N,,
517169,N,N,,
810581,N,N,,
607489,N,N,,
2136037,N,N,,
1948049,N,N,,
2051877,N,N,,
276223,N,N,,
1764987,Y,N,,
1765251,N,Y,1764987,0:05:13
1111348,N,N,,
2119346,N,N,,
2247335,N,N,,
1854379,N,N,,
1341372,N,N,,
511098,N,N,,
1784001,N,N,,
2100762,N,N,,
621261,N,N,,
2189787,N,N,,
1680882,N,N,,
2182523,N,N,,
1943364,N,N,,
2053464,N,N,,
1933684,N,N,,
1751536,N,N,,
2092096,N,N,,
1711799,N,N,,
344885,N,N,,
1769567,N,N,,
1743126,N,N,,
1486360,N,N,,
1973517,N,N,,
1634936,N,N,,
2188934,N,N,,
1666755,N,N,,
493521,N,N,,
909253,N,N,,
2107275,N,N,,
2230204,N,N,,
1621135,N,N,,
1280602,Y,N,,
1280777,N,Y,1280602,0:05:05
2212016,N,N,,
654820,N,N,,
2228493,N,N,,
860760,N,N,,
1734228,N,N,,
1853188,N,N,,
1781423,N,N,,
2051495,N,N,,
495804,N,N,,
1554258,N,N,,
505146,N,N,,
650044,N,N,,
616928,N,N,,
1883163,N,N,,
587909,N,N,,
335763,N,N,,
1192387,N,N,,
1553081,N,N,,
1149042,N,N,,
804077,N,N,,
912148,N,N,,
1167469,N,N,,
2202791,N,N,,
1676251,N,N,,
321688,N,N,,
1121302,N,N,,
1999635,N,N,,
2236643,N,N,,
426779,N,N,,
737471,N,N,,
109594,N,N,,
87274,N,N,,
1565804,N,N,,
1973919,N,N,,
1552557,N,N,,
1836310,N,N,,
108207,N,N,,
2104435,N,N,,
1764191,N,N,,
1742463,N,N,,
1307964,N,N,,
420106,N,N,,
2186918,N,N,,
1028498,N,N,,
278404,Y,N,,
291951,N,Y,278404,4:15:35
1771195,N,N,,
628720,N,N,,
1031535,N,N,,
1806060,N,N,,
1481359,N,N,,
238896,N,N,,
994328,N,N,,
1487902,N,N,,
25942,Y,N,,
26390,N,Y,25942,0:10:45
2125578,N,N,,
1270323,N,N,,
84006,N,N,,
1278922,N,N,,
1919279,N,N,,
1246849,N,N,,
343749,N,N,,
520584,N,N,,
1552072,N,N,,
2123561,N,N,,
929331,N,N,,
881950,N,N,,
1633213,N,N,,
2148400,N,N,,
876228,N,N,,
2184256,N,N,,
1790250,N,N,,
1889453,Y,N,,
1889827,N,Y,1889453,0:06:52
399900,N,N,,
631985,N,N,,
2042276,N,N,,
1857328,N,N,,
850120,N,N,,
1914302,N,N,,
304607,Y,N,,
305237,N,Y,304607,0:10:25
1840026,N,N,,
109565,N,N,,
952165,N,N,,
1764438,N,N,,
969953,N,N,,
1136681,N,N,,
1954843,N,N,,
2210451,N,N,,
490709,N,N,,
1509657,N,N,,
513590,N,N,,
1930931,Y,N,,
1931058,N,Y,1930931,0:02:58
402592,N,N,,
19323,N,N,,
50436,N,N,,
1203170,N,N,,
1131610,N,N,,
1936558,N,N,,
91363,N,N,,
2101334,N,N,,
27033,N,N,,
973116,N,N,,
1546902,N,N,,
1583871,N,N,,
2039802,N,N,,
219148,N,N,,
1751024,N,N,,
376279,N,N,,
416605,N,N,,
1122757,N,N,,
86697,N,N,,
1663599,N,N,,
760960,N,N,,
1862196,N,N,,
384671,N,N,,
427698,N,N,,
1587566,N,N,,
2226286,N,N,,
192944,N,N,,
1788292,N,N,,
1775279,N,N,,
2124269,N,N,,
16304,N,N,,
2115887,N,N,,
1625121,N,N,,
880234,N,N,,
2144644,N,N,,
2144368,N,N,,
862830,N,N,,
1835597,N,N,,
213102,N,N,,
1804415,N,N,,
1935862,N,N,,
873956,N,N,,
1672249,N,N,,
220929,N,N,,
1685445,N,N,,
1449873,N,N,,
2027587,N,N,,
1979667,N,N,,
58375,N,N,,
1160345,N,N,,
1910884,N,N,,
839828,N,N,,
2097821,N,N,,
1687437,N,N,,
1746192,N,N,,
595501,N,N,,
1651595,N,N,,
80490,N,N,,
1855089,N,N,,
1773723,N,N,,
1078315,N,N,,
1704109,N,N,,
77396,N,N,,
2086681,N,N,,
783051,N,N,,
2023102,N,N,,
2031694,N,N,,
342784,N,N,,
2125405,N,N,,
1554786,N,N,,
2062810,N,N,,
2135698,N,N,,
1959900,N,N,,
649106,N,N,,
662297,N,N,,
2040678,N,N,,
1105434,N,N,,
1459580,N,N,,
955652,N,N,,
1695222,N,N,,
663488,N,N,,
1292588,N,N,,
985918,N,N,,
2228657,N,N,,
1991009,N,N,,
1587169,N,N,,
699170,N,N,,
1856677,N,N,,
1883605,N,N,,
1270498,N,N,,
494849,N,N,,
390225,N,N,,
1239748,N,N,,
2236792,N,N,,
914790,Y,N,,
914953,N,Y,914790,0:02:39
1880252,N,N,,
1552852,N,N,,
1168620,N,N,,
489214,N,N,,
1775410,N,N,,
256740,N,N,,
2077537,N,N,,
2172427,N,N,,
400282,N,N,,
1132986,N,N,,
2106754,N,N,,
1750250,N,N,,
328384,N,N,,
1219122,N,N,,
245195,N,N,,
2102748,N,N,,
997291,N,N,,
884625,N,N,,
1762092,N,N,,
572713,N,N,,
253687,N,N,,
1688671,Y,N,,
1688908,N,Y,1688671,0:03:15
2175194,N,N,,
2070220,N,N,,
1070800,N,N,,
2043397,N,N,,
1068299,N,N,,
23811,N,N,,
2056568,N,N,,
581715,N,N,,
429012,N,N,,
2209578,N,N,,
2041779,N,N,,
1920711,N,N,,
2257274,N,N,,
1233681,N,N,,
1814961,N,N,,
1898943,N,N,,
1433717,N,N,,
2178202,N,N,,
818231,N,N,,
304240,N,N,,
93675,N,N,,
335737,N,N,,
201307,N,N,,
902837,N,N,,
1260595,N,N,,
1812773,N,N,,
263722,N,N,,
761230,N,N,,
2008832,N,N,,
2231942,N,N,,
1506249,N,N,,
1962824,N,N,,
833904,N,N,,
682896,N,N,,
1177985,N,N,,
1338482,N,N,,
397738,N,N,,
514680,N,N,,
1431640,N,N,,
1951079,N,N,,
1990492,Y,N,,
1999070,N,Y,1990492,2:29:22
112732,N,N,,
46346,N,N,,
2055535,N,N,,
877318,N,N,,
639083,N,N,,
1605211,N,N,,
191702,N,N,,
271267,N,N,,
1095585,N,N,,
1774707,N,N,,
1803276,N,N,,
2252201,N,N,,
273398,N,N,,
1434361,N,N,,
942095,N,N,,
95755,N,N,,
198339,N,N,,
1010113,N,N,,
2189729,N,N,,
125680,N,N,,
790798,N,N,,
519060,N,N,,
56753,N,N,,
130203,N,N,,
1964063,N,N,,
2029939,Y,N,,
2030523,N,Y,2029939,0:10:45
1772164,N,N,,
1770688,N,N,,
2046493,N,N,,
1841604,Y,N,,
1842038,N,Y,1841604,0:09:00
23196,N,N,,
1185207,N,N,,
784150,N,N,,
821614,N,N,,
2197007,N,N,,
629525,N,N,,
1604766,N,N,,
930383,N,N,,
1817383,N,N,,
1176179,N,N,,
289718,N,N,,
872125,N,N,,
377793,N,N,,
1237127,N,N,,
200745,N,N,,
919985,N,N,,
2113476,N,N,,
2064633,N,N,,
125526,N,N,,
1509851,N,N,,
254142,N,N,,
1038956,N,N,,
50587,N,N,,
378303,N,N,,
1493351,N,N,,
4728,N,N,,
2210797,N,N,,
1037164,N,N,,
2072814,N,N,,
2140528,N,N,,
249475,N,N,,
446068,N,N,,
1978180,N,N,,
1925623,N,N,,
2208980,N,N,,
1088406,N,N,,
2238266,N,N,,
922795,N,N,,
347831,N,N,,
318310,N,N,,
515452,N,N,,
1058693,N,N,,
1455189,N,N,,
1720524,N,N,,
1885602,N,N,,
660891,N,N,,
2160145,N,N,,
206493,N,N,,
57407,N,N,,
2122956,N,N,,
1769418,N,N,,
2186226,N,N,,
913740,N,N,,
1324345,N,N,,
2192818,N,N,,
1486605,N,N,,
1706079,N,N,,
2200369,N,N,,
1264146,N,N,,
1033505,N,N,,
80113,N,N,,
1877977,N,N,,
968203,N,N,,
1551891,N,N,,
1898589,N,N,,
1645050,N,N,,
1039982,N,N,,
1957461,N,N,,
95437,N,N,,
1834430,N,N,,
1505497,N,N,,
503688,N,N,,
585302,N,N,,
1653727,N,N,,
488380,N,N,,
1517749,N,N,,
615519,N,N,,
652584,N,N,,
124177,N,N,,
943176,N,N,,
2127770,N,N,,
1156455,N,N,,
2248851,N,N,,
1023177,N,N,,
249696,N,N,,
2195670,N,N,,
319606,N,N,,
2245036,N,N,,
1845757,N,N,,
86394,N,N,,
1048965,N,N,,
2034586,N,N,,
625069,Y,N,,
625230,N,Y,625069,0:03:19
1793007,N,N,,
2147935,N,N,,
357049,N,N,,
992621,N,N,,
629615,N,N,,
1555330,N,N,,
1964231,N,N,,
1549245,N,N,,
2234402,N,N,,
508634,N,N,,
2196564,N,N,,
2141108,N,N,,
1943677,N,N,,
2054216,N,N,,
78159,N,N,,
755474,N,N,,
1439947,N,N,,
127325,N,N,,
125855,N,N,,
1642672,N,N,,
1674708,N,N,,
84925,N,N,,
1814574,N,N,,
445478,N,N,,
1079932,N,N,,
1884672,N,N,,
894354,N,N,,
1225206,N,N,,
2158770,N,N,,
2156524,N,N,,
1339015,N,N,,
2211550,N,N,,
1586078,N,N,,
2236620,N,N,,
1920159,N,N,,
472741,N,N,,
1510225,N,N,,
470261,N,N,,
2120884,N,N,,
906511,N,N,,
1482044,N,N,,
1103011,N,N,,
2136987,N,N,,
1652695,N,N,,
2051616,N,N,,
897324,N,N,,
1262141,N,N,,
1528886,N,N,,
1839988,N,N,,
358161,N,N,,
1109733,N,N,,
636519,N,N,,
1043780,N,N,,
2033988,N,N,,
